,raw_text,with_accent
0,абажур,абаж+ур
1,абажура,абаж+ура
2,аббревиатура,аббревиат+ура
3,аббревиатуры,аббревиат+уры
4,абзац,абз+ац
5,абзаца,абз+аца
6,абитуриент,абитури+ент
7,абитуриента,абитури+ента
8,абонент,абон+ент
9,абонента,абон+ента
10,абориген,абориг+ен
11,аборигена,абориг+ена
12,абрек,абр+ек
13,абрека,абр+ека
14,абрис,+абрис
15,абриса,+абриса
16,абсцисса,абсц+исса
17,абсциссы,абсц+иссы
18,абсурдный,абс+урдный
19,абсурдны,абс+урдны
20,абсцесс,абсц+есс
21,абсцесса,абсц+есса
22,автономия,автон+омия
23,автономии,автон+омии
24,авторитарный,авторит+арный
25,агент,аг+ент
26,агента,аг+ента
27,агентство,аг+ентство
28,агентства,аг+ентства
29,агнец,+агнец
30,агнца,+агнца
31,агора,агор+а
32,агоры,аг+оры
33,агрессия,агр+ессия
34,агрессии,агр+ессии
35,агрессор,агр+ессор
36,агрессора,агр+ессора
37,адажио,ад+ажио
38,адамант,адам+ант
39,адаманта,адам+анта
40,адаптер,ад+аптер
41,адаптера,ад+аптера
42,адаптированный,адапт+ированный
43,адекватный,адекв+атный
44,аденоиды,аден+оиды
45,аденоидов,аден+оидов
46,адепт,ад+епт
47,адепта,ад+епта
48,адресант,адрес+ант
49,адресат,адрес+ат
50,адресата,адрес+ата
51,азбуковник,азбук+овник
52,азбуковника,азбук+овника
53,акведук,аквед+ук
54,акведука,аквед+ука
55,аккордеон,аккорде+он
56,аккордеона,аккорде+она
57,аккуратный,аккур+атный
58,аккуратно,аккур+атно
59,аккуратны,аккур+атны
60,акмеист,акме+ист
61,акмеиста,акме+иста
62,акростиха,акр+остиха
63,аксельбанты,аксельб+анты
64,аксельбантов,аксельб+антов
65,акта,+акта
66,акушер,акуш+ер
67,акцентируют,акцент+ируют
68,акцентированы,акцент+ированы
69,алгоритм,алгор+итм
70,алгоритма,алгор+итма
71,алеть,ал+еть
72,алевший,ал+евший
73,аллегро,алл+егро
74,алфавит,алфав+ит
75,алфавита,алфав+ита
76,амбициозный,амбици+озный
77,амбициозно,амбици+озно
78,амбициозны,амбици+озны
79,амбиция,амб+иция
80,амбиции,амб+иции
81,амнистия,амн+истия
82,амнистии,амн+истии
83,ампер,амп+ер
84,ампера,амп+ера
85,анаграмма,анагр+амма
86,анаграммы,анагр+аммы
87,аналог,ан+алог
88,аналога,ан+алога
89,аналогия,анал+огия
90,аналогии,анал+огии
91,ананас,анан+ас
92,ананаса,анан+аса
93,анатом,ан+атом
94,анафора,ан+афора
95,анафоры,ан+афоры
96,анахорет,анахор+ет
97,анахорета,анахор+ета
98,ангажированный,ангаж+ированный
99,ангажируют,ангаж+ируют
100,ангел,+ангел
101,ангела,+ангела
102,ангстрем,+ангстрем
103,ангстрема,+ангстрема
104,анданте,анд+анте
105,анестезиолог,анестези+олог
106,анестезиолога,анестези+олога
107,аннотируют,аннот+ируют
108,аннотировавший,аннот+ировавший
109,аннотированы,аннот+ированы
110,аноним,анон+им
111,анонима,анон+има
112,антенна,ант+енна
113,антенны,ант+енны
114,антидепрессанты,антидепресс+анты
115,антимония,антим+ония
116,антимонии,антим+онии
117,антиномия,антин+омия
118,антиномии,антин+омии
119,антипод,антип+од
120,антипода,антип+ода
121,антисептик,антис+ептик
122,антисептика,антис+ептика
123,антитеза,антит+еза
124,антитезы,антит+езы
125,антоним,ант+оним
126,антонима,ант+онима
127,антреприза,антрепр+иза
128,антрепризы,антрепр+изы
129,антрополог,антроп+олог
130,антрополога,антроп+олога
131,антропоним,антроп+оним
132,антропонима,антроп+онима
133,апартаментов,апарт+аментов
134,апеллировавший,апелл+ировавший
135,апелляция,апелл+яция
136,апелляции,апелл+яции
137,апологет,аполог+ет
138,апологета,аполог+ета
139,апостол,ап+остол
140,апостола,ап+остола
141,апробированный,апроб+ированный
142,аранжированный,аранж+ированный
143,аранжируют,аранж+ируют
144,аранжировка,аранжир+овка
145,аранжировки,аранжир+овки
146,арба,арб+а
147,арбы,арб+ы
148,арбалет,арбал+ет
149,арбалета,арбал+ета
150,арбитр,арб+итр
151,арбитра,арб+итра
152,арбуз,арб+уз
153,арбуза,арб+уза
154,арбузище,арб+узище
155,арбузища,арб+узища
156,арготизм,аргот+изм
157,арготизма,аргот+изма
158,аргумент,аргум+ент
159,аргументированный,аргумент+ированный
160,аргументированна,аргумент+ированна
161,аргументированно,аргумент+ированно
162,арест,ар+ест
163,арлекин,арлек+ин
164,арлекина,арлек+ина
165,армяк,арм+як
166,армяка,армяк+а
167,артикль,арт+икль
168,артикля,арт+икля
169,архаизм,арха+изм
170,архаизма,арха+изма
171,археограф,архе+ограф
172,археографа,архе+ографа
173,археолог,архе+олог
174,археолога,архе+олога
175,архиепископ,архиеп+ископ
176,архиепископа,архиеп+ископа
177,архиерей,архиер+ей
178,архиерея,архиер+ея
179,архитектор,архит+ектор
180,архитектора,архит+ектора
181,арык,ар+ык
182,арыка,ар+ыка
183,аса,+аса
184,асимметричный,асимметр+ичный
185,асимметрично,асимметр+ично
186,асимметричны,асимметр+ичны
187,аскет,аск+ет
188,аскета,аск+ета
189,аспид,+аспид
190,аспида,+аспида
191,ассигнация,ассигн+ация
192,ассигнации,ассигн+ации
193,ассорти,ассорт+и
194,ассоциация,ассоци+ация
195,ассоциации,ассоци+ации
196,ассоциировавшийся,ассоци+ировавшийся
197,астероид,астер+оид
198,астероида,астер+оида
199,астронимы,астр+онимы
200,астронимов,астр+онимов
201,асфальтированный,асфальт+ированный
202,атеист,ате+ист
203,атеиста,ате+иста
204,атлет,атл+ет
205,атлета,атл+ета
206,атмосфера,атмосф+ера
207,атмосферы,атмосф+еры
208,аттракцион,аттракци+он
209,аттракциона,аттракци+она
210,аудитор,ауд+итор
211,аудитора,ауд+итора
212,аутсайдер,аутс+айдер
213,аутсайдера,аутс+айдера
214,афишируют,афиш+ируют
215,аффикс,+аффикс
216,аффикса,+аффикса
217,ацтеки,ацт+еки
218,ацтеков,ацт+еков
219,аэропорты,аэропорт+ы
220,аэропортов,аэропорт+ов
221,багет,баг+ет
222,багета,баг+ета
223,багроветь,багров+еть
224,багровела,багров+ела
225,багровевший,багров+евший
226,багровый,багр+овый
227,багряный,багр+яный
228,багряны,багр+яны
229,бадья,бадь+я
230,бадьи,бадь+и
231,базилика,баз+илика
232,базилики,базил+ики
233,бая,б+ая
234,байкер,б+айкер
235,байкера,б+айкера
236,байта,б+айта
237,бакен,б+акен
238,бакена,б+акена
239,бактерии,бакт+ерии
240,бактерий,бакт+ерий
241,балансирующий,баланс+ирующий
242,балансировавший,баланс+ировавший
243,балетмейстра,балетм+ейстра
244,баллада,балл+ада
245,баллады,балл+ады
246,баллотировалась,баллот+ировалась
247,балованный,бал+ованный
248,балуй,бал+уй
249,балуйте,бал+уйте
250,баловень,б+аловень
251,баловня,б+аловня
252,баловник,баловн+ик
253,баловника,баловник+а
254,балык,бал+ык
255,балыка,балык+а
256,бампер,б+ампер
257,бампера,б+ампера
258,бандана,банд+ана
259,банданы,банд+аны
260,бандерилья,бандер+илья
261,бандерильи,бандер+ильи
262,бандероль,бандер+оль
263,бандероли,бандер+оли
264,банта,б+анта
265,барда,б+арда
266,баржа,б+аржа
267,баржи,барж+и
268,барин,б+арин
269,барина,б+арина
270,баритон,барит+он
271,баритона,барит+она
272,бармена,барм+ена
273,барменша,б+арменша
274,барменши,б+арменши
275,барокко,бар+окко
276,барракуда,баррак+уда
277,барракуды,баррак+уды
278,баррель,б+аррель
279,барреля,б+арреля
280,бархатистый,бархат+истый
281,бархатисто,бархат+исто
282,бархатисты,бархат+исты
283,бархатка,б+архатка
284,бархотки,барх+отки
285,бархатцы,б+архатцы
286,бархатцев,б+архатцев
287,басистый,бас+истый
288,бассейн,басс+ейн
289,бассейна,басс+ейна
290,басурман,басурм+ан
291,басурмана,басурм+ана
292,батальон,баталь+он
293,батальона,баталь+она
294,батог,бат+ог
295,батога,батог+а
296,батут,бат+ут
297,батуда,бат+уда
298,бахвал,бахв+ал
299,бахвала,бахв+ала
300,бахвалятся,бахв+алятся
301,бахвалься,бахв+алься
302,бахвальтесь,бахв+альтесь
303,бахвалившийся,бахв+алившийся
304,бедро,бедр+о
305,бедра,бедр+а
306,бежать,беж+ать
307,бежала,беж+ала
308,безвестный,безв+естный
309,безвестно,безв+естно
310,безвестны,безв+естны
311,безвозмездный,безвозм+ездный
312,безвозмездна,безвозм+ездна
313,безвозмездно,безвозм+ездно
314,безвозмездны,безвозм+ездны
315,бездарь,б+ездарь
316,бездари,б+ездари
317,безжалостный,безж+алостный
318,безжалостна,безж+алостна
319,безжалостны,безж+алостны
320,безжизненный,безж+изненный
321,безжизненна,безж+изненна
322,безжизненно,безж+изненно
323,бежизненны,беж+изненны
324,безнадежна,безнад+ежна
325,безнадежно,безнад+ежно
